0
Y356 - Y372
X96 - X216
Y164 - Y228
X328 - X344
X372 - X436
Y316 - Y320
X200 - X432
Y144 - Y364
Y288 - Y364
Y288 - Y436
X20 - X184
Y364 - Y436
X440 - X456
X172 - X288
X304 - X352
Y312 - Y424
Y80 - Y88
X248 - X396
Y264 - Y380
X60 - X80
Y72 - Y292
X220 - X380
X124 - X136
Y344 - Y376
X8 - X188
Y288 - Y432
X216 - X232
Y120 - Y444
X252 - X424
X284 - X384
X292 - X424
X308 - X460
X144 - X160
X12 - X228
X256 - X464
X64 - X112
X220 - X388
X244 - X412
Y364 - Y452
Y52 - Y160
Y0 - Y240
Y8 - Y188
X152 - X428
X60 - X184
X60 - X72
X136 - X352
Y16 - Y96
Y364 - Y388
X8 - X128
Y308 - Y324
X60 - X436
Y356 - Y464
Y132 - Y424
Y276 - Y336
X60 - X232
Y108 - Y356
X264 - X388
X188 - X272
X304 - X392
X4 - X428
Y292 - Y320
X32 - X96
X308 - X436
Y60 - Y148
X120 - X252
X320 - X440
Y36 - Y424
Y72 - Y424
X292 - X416
X76 - X288
X352 - X400
Y328 - Y364
Y272 - Y288
Y0 - Y328
X100 - X216
Y80 - Y96
Y212 - Y336
X28 - X204
X112
X256 - X388
X252 - X356
X64 - X244
X244 - X376
Y288 - Y312
Y412 - Y464
Y368 - Y388
X144 - X380
X396 - X428
X188 - X296
X96 - X184
Y400 - Y424
Y304 - Y432
X378
Y176
X361
X288
Y172
Y149
X149
Y150
X323
X32
X389
Y136
X170
X264
Y58
X356
X58
X140
X332
X397
Y215
X39
X284
X365
X379
Y127
Y187
X454
X132
X171
X150
X172
Y132
X136
X192
X435
X54
X251
X368
X400
X176
X447
Y93
X401
X433
X297
X93
X194
X67
X377
Y162
X234
Y21
X372
X338
Y169
Y137
X127
Y10
Y288
Y138
X213
Y234
Y103
X411
X416
X21
X10
Y454
X215
Y397
X208
X227
Y323
Y54
Y361
X147
X366
X148
Y109
Y284
X182
X103
Y447
X395
X201
X135
Y148
X18
X376
X293
X109
X333
Y192
Y338
X152
X367
X214
X210
Y332
X138
X177
Y297
Y67
Y356
X283
X211
X298
X162
X427
X300
X9
X169
X299
Y389
Y251
Y378
X364
X108
X345
X443
X334
X340
Y377
X139
X301
X137
Y435
X346
X396
Y177
X383
X337
X151
Y152
Y170
Y365
X434
Y158
X83
X369
lag1_Y361
Y400
X116
X431
X181
Y34
Y264
X187
Y379
X85
X352
X104
X394
Y104
Y175
X204
Y345
Y227
X430
Y366
lag1_X288
lag1_Y21
X287
X220
lag1_X361
X428
lag1_X234
X425
X426
Y368
X289
lag1_Y356
lag1_X172
lag1_Y454
Y108
lag1_Y284
Y147
X34
X199
Y364
Y214
Y135
X50
Y213
X212
X175
X424
X265
X282
X106
X322
X202
X262
X84
X71
Y428
X180
lag1_Y127
Y68
lag1_Y103
X69
X63
X422
Y401
lag1_Y58
lag1_X132
lag1_Y162
lag1_Y67
lag1_X93
lag1_X356
X65
X186
lag1_Y288
X347
X118
Y66
Y367
X417
X410
Y211
Y63
X74
X295
X342
Y301
lag1_Y172
lag1_Y251
Y140
X105
lag1_X136
lag1_Y387
lag1_X58
Y346
Y416
Y151
X296
X207
lag1_Y386
X388
X8
lag1_X454
lag1_Y389
Y69
lag1_Y160
X444
Y105
X432
Y216
lag1_Y323
X308
lag1_X389
Y433
X123
